Thin Lizzy, "Bad Reputation"
Avenged Sevenfold, "Beast and the Harlot"
Alice Cooper, "Billion Dollar Babies"
Rolling Stones !The Rolling Stones, "Can't You Hear Me Knockin'"
Living End !The Living End, "Carry Me Home"
Kansas, "Carry On Wayward Son"
Warrant, "Cherry Pie"
Heart, "Crazy on You"
My Chemical Romance, "Dead!"
Lynyrd Skynyrd, "Free Bird"
Sword !The Sword, "Freya"
Matthew Sweet, "Girlfriend"
Megadeth, "Hangar 18"
Nirvana, "Heart-Shaped Box"
Deep Purple, "Hush"
Suicidal Tendencies, "Institutionalized"
Allman Brothers Band !The Allman Brothers Band, "Jessica"
Primus, "John the Fisherman"[b]
Rage Against the Machine, "Killing in the Name"
Lamb of God, "Laid to Rest"
Aerosmith, "Last Child"
Pearl Jam, "Life Wasted"
Anthrax, "Madhouse"[b]
Police !The Police, "Message in a Bottle"
Dick Dale, "Misirlou"
Foo Fighters, "Monkey Wrench"
Danzig, "Mother"
Toadies, "Possum Kingdom"
Reverend Horton Heat, "Psychobilly Freakout"[b]
Rick Derringer, "Rock and Roll Hoochie Koo"
Stray Cats, "Rock This Town"
Rancid, "Salvation"
Iggy Pop and the Stooges, "Search and Destroy"
Mötley Crüe, "Shout at the Devil"[a][b]
Jane's Addiction, "Stop"
Kiss, "Strutter"[a][b]
Cheap Trick, "Surrender"
Guns N' Roses, "Sweet Child O' Mine"
Pretenders !The Pretenders, "Tattooed Love Boys"
Alice in Chains, "Them Bones"
Spinal Tap, "Tonight I'm Gonna Rock You Tonight"
Stone Temple Pilots, "Trippin' on a Hole in a Paper Heart"[b]
Iron Maiden, "The Trooper"
Black Sabbath, "War Pigs"[b]
Butthole Surfers !The Butthole Surfers, "Who Was in My Room Last Night?"[b]
Wolfmother, "Woman"
Van Halen, "You Really Got Me"[a][b]
Rush, "YYZ"[a][b]
Drist, "Arterial Black"[a]
Anarchy Club, "Collide"
Ounce of Self, "Drink Up"
That Handsome Devil, "Elephant Bones"
Valient Thorr, "Fall of Pangea"
VAGIANT, "FTK"
Brian Kahanek, "Gemini"[a]
Buckethead, "Jordan"
Noble Rot, "Kicked to the Curb"
Acro-Brats !The Acro-Brats, "Laughtrack"[a]
Freezepop, "Less Talk More Rokk"[a]
Shadows Fall, "Light That Blinds !The Light That Blinds"
Amazing Crowns !The Amazing Crowns, "Mr. Fix It"
Every Time I Die, "New Black !The New Black"
Breaking Wheel !The Breaking Wheel, "One for the Road"
Neighborhoods !The Neighborhoods, "Parasite"
Bang Camaro, "Push Push (Lady Lightning)"
Count Zero, "Radium Eyes"
Last Vegas !The Last Vegas, "Raw Dog"
Megasus, "Red Lottery"
All That Remains, "Six"
Honest Bob and the Factory-to-Dealer Incentives, "Soy Bomb"[a]
Dethklok, "Thunderhorse"
Strong Bad, "Trogdor"[a]
Voivod, "X-Stream"
Made in Mexico, "Yes We Can"
